Name,Sample_Name,Group_code,Date,Time,Latitude,Longitude,Altitude
horsetail__00008.sed:C4,_horsetail,HT,8/2/2021,_13_09_16_13_11_45,64.86195,-147.86471,176.5
horsetail__00009.sed:C4,_horsetail,HT,8/2/2021,_13_09_16_13_12_03,64.86195,-147.86471,176.5
horsetail__00010.sed:C4,_horsetail,HT,8/2/2021,_13_09_16_13_12_49,64.86195,-147.86471,175.8
larch_00031.sed:C4,_larch,La,8/5/2021,_11_27_18_11_27_54,64.85756,-147.85545,185.3
larch_00032.sed:C4,_larch_,La,8/5/2021,_11_27_18_11_28_15,64.85757,-147.85546,185.1
larch_00033.sed:C4,_larch,La,8/5/2021,_11_27_18_11_28_30,64.85757,-147.85546,185
larch_00034.sed:C4,_larch,La,8/5/2021,_11_27_18_11_28_51,64.85757,-147.85547,184.6
larch_00035.sed:C4,_larch,La,8/5/2021,_11_27_18_11_29_06,64.85757,-147.85547,184.2
poplar_00021.sed:C4,_poplar,BP,8/2/2021,_13_59_20_14_01_07,64.86396,-147.86287,164.4
poplar_00022.sed:C4,_poplar,BP,8/2/2021,_13_59_20_14_01_42,64.86396,-147.8629,164.3
poplar_00023.sed:C4,_poplar,BP,8/2/2021,_13_59_20_14_03_14,64.86397,-147.86284,164.4
poplar_00024.sed:C4,_poplar,BP,8/2/2021,_13_59_20_14_03_52,64.86397,-147.86288,164.1
poplar_00025.sed:C4,_poplar,BP,8/2/2021,_13_59_20_14_04_15,64.86396,-147.8629,164.6
trail_00026.sed:C4,_trail,Tr,8/2/2021,_15_47_22_15_48_21,64.85921,-147.85286,209.5
trail_00027.sed:C4,_trail,Tr,8/2/2021,_15_47_22_15_48_41,64.85921,-147.85289,210.5
trail_00028.sed:C4,_trail,Tr,8/2/2021,_15_47_22_15_48_52,64.85921,-147.85289,210.9
